,filename,author,description,viewcount,rating,likes,dislikes,duration,length,keywords,published
10,Imagine Dragons - Shots.mp4,ImagineDragonsVEVO,"Get ‘Smoke + Mirrors’ out now: http://smarturl.it/IDSmokeMirrors 

Production - GloriaFX, The Hound
Director - GloriaFX (Tomash K, Max Colt, Sergii Mashevskyi)
Concept/art  - Tim Cantor
Post Production – GloriaFX

Music video by Imagine Dragons performing Shots. KIDinaKORNER/Interscope Records

http://vevo.ly/PqnRQt",1024253,4.9517583847,49477,604,00:03:59,239,"[Imagine, Dragons, Shots, IGA, Alternative/Indie]",2016-11-08 23:28:33
11,Little Big Town - Better Man.mp4,LittleBigTownVEVO,"Purchase Little Big Town’s latest music: http://umgn.us/LBTPurchase
Stream the latest from Little Big Town: http://umgn.us/LBTStream
Sign up to receive email updates from Little Big Town:  http://umgn.us/LBTupdates

Website: http://littlebigtown.com
Facebook: https://www.facebook.com/littlebigtown
Instagram: https://www.instagram.com/littlebigtown
Twitter: https://twitter.com/littlebigtown

Music video by Little Big Town performing Better Man. (C) 2016 Little Big Town, LLC under exclusive license to Capitol Records Nashville

http://vevo.ly/eJQ6Gi",7017352,4.84446334839,64018,2590,00:04:53,293,"[Little, Big, Town, Better, Man, Capitol, Records, Nashville, Country]",2016-11-01 15:00:02
12,박재범 Jay Park - 'Me Like Yuh' [Official Music Video].mp4,JAYPARKOFFICIAL,"JAY PARK, LP [EVERYTHING YOU WANTED]
박재범 Jay Park - 'Me Like Yuh'
-
Apple iTunes : https://itun.es/my/HRpJfb
Apple Music Korea : https://itun.es/kr/HRpJfb",3509542,4.96034288406,95071,952,00:03:44,224,"[박재범, Jay Park, Me Like Yuh, Cha Cha Malone]",2016-10-25 15:00:30
13,Far East Movement x Marshmello - Freal Luv ft. Chanyeol & Tinashe (Official Music Video).mp4,Spinnin' Records,"Far East Movement x Marshmello - Freal Luv ft. Chanyeol & Tinashe is OUT NOW! Like this track? Download on Beatport or add it to your favourite Spotify/Apple Music playlist by clicking HERE: https://spinninrecords.lnk.to/FrealLuvftChanyeolTinashe!YT

Join our Spinnin' Records Top 100 Playlist ► https://spinninrecords.lnk.to/top100!YT

Far East Movement is back and this hip-hop quartet teamed up with the mysterious party animal Marhmello for this huge hit Freal Luv. This track is going to go places, crash clubs and make the people go out of their minds. Its trap influenced twerk beat, solid basslines and strong raps are here to stay. With Chanyeol and Tinashe rocking the mic like crazy, this will definitely be pleasing crowds very soon, hit potential right here! 

Far East Movement
http://www.fareastmovement.com/
facebook: https://www.facebook.com/fareastmovem...
twitter: https://twitter.com/fareastmovement
instagram: https://www.instagram.com/fareastmove...

Marshmello
https://marshmellomusic.com/
facebook: https://www.facebook.com/marshmellomusic
twitter: https://twitter.com/marshmellomusic
instagram: https://www.instagram.com/marshmellom...

Chanyeol
http://exo.smtown.com/
https://www.instagram.com/real__pcy/

Tinashe
http://www.tinashenow.com/home/
facebook: https://www.facebook.com/OfficialTinashe
twitter: https://twitter.com/tinashe
instagram: https://www.instagram.com/tinashenow/

Lyrics:

Freal Luv (4x)

Know no limits, to feel the truth
When the world stops spinnin, 
I'll know it's you
Searching all night, like a spotlight
For the one to show
Could it be you, could it be me
Only way to know 

I'm all yours, when you really want to take me there
Don't let me go no where, 
I'd give it all up for you, I swear 
Only Freal luv
That love that keeps me shaking
So real there's no mistaking
I’d give it all up to you, I swear
Only Freal luv

Lovin that real luv, something you feel luv
Turning me back to the old me
Ride for my realla, I die for my realla
I give you respect like the OGs
Lockin me down like the police
We ain't never be lonely
Protectin’ my love like a goalie, 
You'll be the only one next to me right with the homies
We got that empire mind, 
combine n’ steadily rise (That be freal)
Moment of truth of has arrived, 
trust that forever you ride (That be freal)
You be the bank on my side, 
you supervise, Lets make a deal, 
Let's get it sealed let's make a trill, 
Let's rule the world, together freal

Freal Luv (4x)

I'm all yours, when you really want to take me there
Don't let me go no where, 
I'd give it all up for you, I swear 
Only Freal luv (2x)
That love that keeps me shaking
So real there's no mistaking
I’d give it all up to you, I swear
Only Freal luv

Love is a high, we feelin’ alive, 
you Lovin’ the size, 이 흐름을 타
I give you more, you feelin’ the flow, 
you never let none of them bring down the vibe
Hustle to win, we be livin’ in sin, 
makin’ us two of a kind
새로운 길, babe we got temples to build, 
ain't no haters can step to our grind
We got that empire mind, 
함께 천천히 올라, (That be freal)
진실이 닿는 순간, 
느껴봐 눈을 감아, (That be freal)
You be the bank on my side, nothing but dimes
Let’s make a deal,
서서히 필, 꿈과 현실
내 손을 잡으면, together freal

Freal Luv (4x)

Credits:
Video Producer: Jimmy Yang, Steve Lee
Executive Producer: Dpd, Far East Movement
Production Company: Proper Form
Director: Dpd, David Lin
DP: Donte Lee
Model: Softest Hard
Motion Graphics: John Hwang, Alex Oh
Label: Transparent Music",12767908,4.95006942749,215261,2721,00:03:12,192,"[Spinnin', Records, Far East Movement, Marshmello, Freal Luv, Chanyeol & Tinashe]",2016-10-14 19:00:00
14,DNCE - Body Moves.mp4,DNCEVEVO,"Body Moves (Official Video)
Taken from the new album DNCE
 https://DNCE.lnk.to/DNCEalbumYD
 
Connect with DNCE:
Instagram: http://www.instagram.com/DNCE 
Twitter: http://www.twitter.com/DNCE 
Facebook: http://www.facebook.com/DNCEmusic 
Snapchat: DNCEmusic
 
Directed by Hannah Lux Davis
Produced by Angela Gregory
Executive Produced by Luga Podesta & Brandon Bonfiglio
For YELLA 
 
Music video by DNCE performing Body Moves. (C) 2016 Republic Records, a division of UMG Recordings, Inc.

http://vevo.ly/0lKM11",18295404,4.74052047729,204253,14169,00:04:12,252,"[DNCE, Body, Moves, debut album, Body Moves, Swaay EP, dnce cake by the ocean, dnce toothbrush, dnce body moves lyrics, dnce body moves, dnce body moves audio, dnce body moves reaction, dance body moves, dnce lyrics, dnce body moves girl, dance, cake by the ocean, cake by the ocean lyrics, cake by the ocean clean, cake by the ocean kidz bop, body moves lyrics, body moves dance lyrics, body moves live, body moves cover, body, moves, video]",2016-10-11 10:00:01
15,Rae Sremmurd - Black Beatles ft. Gucci Mane.mp4,RaeSremmurdVEVO,"Rae Sremmurd “SremmLife 2” available now
iTunes: http://smarturl.it/SremmLife2
Apple Music: http://smarturl.it/SremmLife2.AP
Google Play: http://smarturl.it/SremmLife2.GP
Amazon: http://smarturl.it/SremmLife2.AMZ
Spotify: http://smarturl.it/SremmLife2.SP
Target (includes 2 bonus tracks): Sremmlife 2: http://smarturl.it/Sremmlife2.Tgt 
Rae Sremmurd newsletter: http://smarturl.it/RaeSremmurd.News 

Music video by Rae Sremmurd performing Black Beatles. (C) 2016 Eardruma/Interscope Records

http://vevo.ly/IkBFkQ",171592900,4.84239721298,1775640,72831,00:04:53,293,"[Rae, Sremmurd, Black, Beatles, Eardruma/Interscope, Records, Hip, Hop]",2016-09-22 19:00:04
16,Years & Years - Meteorite (Official Video).mp4,YearsAndYearsVEVO,"""Brand new single Meteorite, out now
Download on iTunes: http://po.st/MeteoriteiTYT
Listen on Spotify: http://po.st/MeteoriteSpYT
Listen on Apple Music: http://po.st/MeteoriteAPYT

Connect with Years & Years:
Facebook - http://po.st/yyfb
Twitter - http://po.st/yyt
Vevo - http://po.st/yyv
Google+ - http://po.st/yyg
Spotify - http://po.st/yysp""

http://vevo.ly/UDgdfb",4548760,4.88939762115,80283,2283,00:03:26,206,"[Years, Meteorite, Polydor, Electronic]",2016-09-28 23:00:02
17,Lady Gaga - Perfect Illusion.mp4,LadyGagaVEVO,"LADY GAGA / JOANNE 
NEW ALBUM / OUT NOW
iTunes: http://smarturl.it/Joanne 
Google Play: http://smarturl.it/Joanne.gp 
Amazon: http://smarturl.it/Joanne.amz
LadyGaga.com: http://smarturl.it/GagaStore

FOLLOW LADY GAGA:
http://www.facebook.com/ladygaga
http://www.twitter.com/ladygaga
http://www.instagram.com/ladygaga
http://www.snapchat.com/add/ladygaga
http://smarturl.it/LG.sp 

EMAIL LIST: 
http://smarturl.it/LadyGaga.News

Music video by Lady Gaga performing Perfect Illusion. (C) 2016 Interscope Records

http://vevo.ly/jdltFD",59631382,4.70454502106,781659,62341,00:03:04,184,"[Lady, Gaga, Perfect, Illusion, Streamline/Interscope, Records, Pop, Lady Gaga, Perfect Illusion, LG5]",2016-09-21 02:00:00
18,LP - Lost On You [Official Video].mp4,LP,"Download on iTunes: http://smarturl.it/LostOnYouEUIT
Listen on Spotify: http://smarturl.it/DeathValleySpfy

----------------------------------

Website: http://iamlp.com
Facebook: http://facebook.com/iamLP
Twitter: http://twitter.com/iamlp
Soundcloud: https://soundcloud.com/iamlpmusic

-----------------------

Director: Chuck David Willis 
NY Director of Photography: Jade Ehlers 
LA Director of Photography: Nathan Presley 
1st AC/ Camera Op: Gabe Kimpson 
Producers: Chuck David Willis & Brett Long 
Vanities: Morgan Grimes 
Actors: Laura Hanson Sims & Lauren Ruth Ward",51033773,4.90921497345,349606,8119,00:04:31,271,"[LP, Lost On You, Death Valley, Alternative, Singer Songwriter, Muddy Waters]",2016-06-01 18:28:59
19,Fifth Harmony - That's My Girl.mp4,FifthHarmonyVEVO,"""7/27"" available at:
iTunes: http://smarturl.it/7.27
Amazon: http://smarturl.it/727_Amzn
Spotify: http://smarturl.it/727_Spotify
Google: http://smarturl.it/727_GP
Apple Music: http://smarturl.it/727_Apple

http://www.fifthharmonyofficial.com
http://youtube.com/FifthHarmonyVEVO
http://twitter.com/FifthHarmony
https://www.facebook.com/fifthharmony
http://instagram.com/fifthharmony

(C) 2016 Simco Ltd. under exclusive license to Epic Records, a division of Sony Music Entertainment

http://vevo.ly/kLUYui",72737320,4.82788324356,1027001,46178,00:03:44,224,"[Dope, 7/27 album, Better Together, 7/27, Sledgehammer, That's My Girl, Syco Music/Epic, Worth It, I Know What You Did Last Summer, Gonna Get Better, Harmonizers, I Lied, Not That Kind of Girl, Ally Brooke, BO$$, Syco, No Way, Fifth Harmony, Squeeze, X-Factor, 5H2, The Life, Miss Movin' On, Work From Home, Scared of Happy, Reflection, Fetty Wap, Shawn Mendes, I'm In Love With A Monster, Camila Cabello, Normani Kordei, Pop, Dinah Jane, BOSS, 5H]",2016-09-19 07:00:02
