,filename,author,description,viewcount,rating,likes,dislikes,duration,length,keywords,published
72,Easton Corbin - All Over The Road (Acoustic Version).mp4,EastonCorbinVevo,"Purchase Easton Corbin’s latest music: http://umgn.us/eastoncorbinpurchase
Stream the latest from Easton Corbin: http://umgn.us/eastoncorbinstream
Sign up to receive email updates from Easton Corbin: http://umgn.us/eastoncorbinupdates

Website: http://eastoncorbin.com
Facebook: https://www.facebook.com/eastoncorbin
Instagram: http://instagram.com/eastoncorbin
Twitter: https://www.twitter.com/eastoncorbin

Music video by Easton Corbin performing All Over The Road. (C) 2012 Mercury Records, a Division of UMG Recordings, Inc.",763019,4.89975976944,2840,73,00:02:41,161,"[Easton, Corbin, All, Over, The, Road, Mercury, Nashville, Country]",2012-09-19 07:00:08
73,Kenny Chesney - Coastal (Walmart Soundcheck).mp4,KennyChesneyVEVO,"Kenny Chesney's official music video for 'Coastal'. Click to listen to Kenny Chesney on Spotify: http://smarturl.it/KChSpotify?IQid=KChCoa

As featured on Hemingway's Whiskey. Click to buy the track or album via iTunes: http://smarturl.it/KChHWiTunes?IQid=KChCoa
Google Play: http://smarturl.it/KChCoastalplay?IQid=KChCoa
Amazon: http://smarturl.it/KChHWAmz?IQid=KChCoa

More from Kenny Chesney
Everybody Wants To Go To Heaven: https://youtu.be/u6MqUqtTlLI
Pirate Flag: https://youtu.be/IqIRpnsUvP4
When I See This Bar: https://youtu.be/CWZe6YoHYIg

More great Country Hit videos here: http://smarturl.it/CountryHit?IQid=KChCoa

Follow Kenny Chesney
Website: http://www.kennychesney.com/
Facebook: https://www.facebook.com/KennyChesney/
Twitter: https://twitter.com/kennychesney
Instagram: https://instagram.com/kennychesney/

Subscribe to Kenny Chesney on YouTube: http://smarturl.it/KChSub?IQid=KChCoa

---------

Lyrics:

Tank top, love handles
Tube socks, Jesus sandals
Cheap blender, icebucket
Raw oysters, yeah, give me one and shuck it

Holds up a frozen orange daiquiri
And laughs, here's to the boys at the factory

No more building transmissions
He's going deep sea fishing
Catch a marlin, catch a tan
Catch a local cover band

Hey, you gotta watch that man
He'll go coastal on ya

Silver hair, silver Buick
Winter's coming, better move it
Southbound before they get snowed under
Call the kids, tell 'em see you next summer

No more freezing their tails off
It's cataractsunglasses and a round of golf
Red skin, green plaid, margarita, dog track
Before you know it Mom and Dad
They'll go coastal on ya

Sounds so good, got me thinking
What do y'all say after I'm done singing

We just take a little getaway
Cruise itdown the A1A
Florabama to the Keys
Better keep your eye on me

I'll go coastal on ya
I'll go coastal on ya
Yeah, I'll go coastal on ya",820728,4.63593387604,769,77,00:02:36,156,"[the road and the radio, gh 2, official, hq, when the sun goes down, kenny chesney lyrics, cover, karaoke, download, music, playlist, gone coastal, coastal live, Coastal, live 2015, audio, kenny chesney vevo, lyrics, music video, live, kenny chesney, vevo, kenny chesney live, Sony, goin coastal, hemmingways whiskey, album, Kenny Chesney, acoustic, greatest hits, official video, kenny chesney coastal, coastal official, kenny, chesney]",2010-10-18 20:07:27
74,PARMALEE - Carolina.mp4,PARMALEEVEVO,"Directed by Rhetorik   Download ""Carolina"" on iTunes - http://smarturl.it/Carolina-Single

Official Site -- http://www.Parmalee.com
Facebook -- http://www.facebook.com/ParmaleeMusic
Twitter -- http://www.twitter.com/Parmalee",6166204,4.88557195663,30459,897,00:03:26,206,"[PARMALEE, Carolina, Stoney, Creek, Records, Country, BBR Music Group]",2013-07-01 00:00:14
75,Alan Jackson - Drive (For Daddy Gene).3gp,alanjacksonVEVO,"Alan Jackson's official music video for 'Drive (For Daddy Gene)'. Click to listen to Alan Jackson on Spotify: http://smarturl.it/AJacksonSpot?IQid=AlanJsDDG

As featured on 34 Number Ones. Click to buy the track or album via iTunes: http://smarturl.it/AJackson34iTunes?IQid=AlanJsDDG
Google Play: http://smarturl.it/AJacksonDDGPlay?IQid=AlanJsDDG
Amazon: http://smarturl.it/AJackson34Amz?IQid=AlanJsDDG

More from Alan Jackson
Remember When: https://youtu.be/TTA2buWlNyM
Chattahoochee: https://youtu.be/JW5UEW2kYvc
Country Boy: https://youtu.be/JnX2BoZE9w4

More great country anthem videos here: http://smarturl.it/CountryAnthems?IQid=AlanJsDDG

Follow Alan Jackson
Website: http://www.alanjackson.com/
Facebook: https://www.facebook.com/OfficialAlanJackson
Twitter: https://twitter.com/OfficialJackson

Subscribe to Alan Jackson on YouTube: http://smarturl.it/AJacksonSub?IQid=AlanJsDDG

---------

Lyrics:

It was painted red the stripe was white
It was 18 feet from the bow to stern light
Secondhand from a dealer in Atlanta
I rode up with daddy when he went there to get her
We put on a shine, put on a motor
Built out of love, and made for the water
Ran her for years, til' the transom got rotten
A piece of my childhood will never be forgotten

It was just an old plywood boat
With a 75 Johnson with electric choke
A young boy two hands on the wheel
I can't replace the way it made me feel
And I would turn her sharp
And I would make it whine
He'd say, ""You can't beat the way a old wood boat rides""
Just a little lake cross the Alabama line
But I was king of the ocean
When Daddy let me drive",11484280,4.85893678665,30803,1126,00:04:09,249,"[Alan Jackson live, alan jackson drive for daddy gene lyrics, alan jackson drive for daddy gene live, alan jackson vevo, alanjacksonvevo, livin on love, official, hq, good time, cover, karaoke, download, alan jackson drive for daddy gene, music, playlist, Arista Nashville, remember when, alan jackson lyrics, angels and alcohol, audio, Alan jackson, lyrics, alan jackson official, music video, live, vevo, Sony, drive for daddy gene, Drive, (For]",2009-10-03 05:25:50
76,Kenny Chesney - Somewhere With You (Walmart Soundcheck).mp4,KennyChesneyVEVO,"Kenny Chesney's official music video for 'Somewhere With You (Walmart Soundcheck)'. Click to listen to Kenny Chesney on Spotify: http://smarturl.it/KChSpotify?IQid=KChSWU

As featured on Hemingway's Whiskey. Click to buy the track or album via iTunes: http://smarturl.it/KChHWiTunes?IQid=KChSWU
Google Play: http://smarturl.it/KChSWUplay?IQid=KChSWU
Amazon: http://smarturl.it/KChHWAmz?IQid=KChSWU

More from Kenny Chesney
Everybody Wants To Go To Heaven: https://youtu.be/u6MqUqtTlLI
Pirate Flag: https://youtu.be/IqIRpnsUvP4
When I See This Bar: https://youtu.be/CWZe6YoHYIg

More great Country Hit videos here: http://smarturl.it/CountryHit?IQid=KChSWU

Follow Kenny Chesney
Website: http://www.kennychesney.com/
Facebook: https://www.facebook.com/KennyChesney/
Twitter: https://twitter.com/kennychesney
Instagram: https://instagram.com/kennychesney/

Subscribe to Kenny Chesney on YouTube: http://smarturl.it/KChSub?IQid=KChSWU

---------

Lyrics:

If you're going out with someone new
I'mgoing out with someone too
I won't feel sorry for me, I'm getting drunk
But I'd much rather be somewhere with you

Laughing loud on a carnival ride, yeah
Driving around on a Saturday night
You made fun of me for singing my song
Got a hotel room just to turn you on

You said pick me up at three a.m.
You're fighting with your mom again
And I'd go, I'd go, I'd go somewhere with you

I won't sit outside your house
And wait for the lights to go out
Call up an ex to rescue me, climb in their bed
When I'd much rather sleep somewhere with you

Like we did on the beach last summer
When the rain came down and we took cover
Down in your car, out by the pier
You laid me down, whispered in my ear

I hate my life, hold on to me
Ah, if you ever decide to leave
Then I'll go, I'll go, I'll go

I can go out every night of the week
Can go home with anybody I meet
But it's just a temporary high 'cause when I close my eyes
I'm somewhere with you, somewhere with you

If you see me out on the town
And it looks like I'm burning it down
You won't ask and I won't say
But in my heart I'm always somewhere with you

Laughing loud on a carnival ride, yeah
Driving around on a Saturday night
You made fun of me for singing my song
Got a hotel roomjust to turn you on

You said pick me up at three a.m.
You're fighting with your mom again
And I'd go, I'd go, I'd go

I can go out every night of the week
Can go home with anybody I meet
But it's just a temporary high 'cause when I close my eyes
I'm somewhere with you, somewhere with you

Somewhere with you
I'm somewhere with you
I'm somewhere with you
Somewhere with you
Somewhere with you",3503987,4.91728687286,9472,200,00:03:06,186,"[the road and the radio, gh 2, walmart, official, hq, when the sun goes down, kenny chesney lyrics, cover, karaoke, download, music, playlist, somewhere with you live, live 2015, audio, kenny chesney vevo, lyrics, somewhere with you official, kenny chesney somewhere with you, music video, live, kenny chesney, vevo, kenny chesney live, Sony, hemmingways whiskey, album, Kenny Chesney, acoustic, greatest hits, Somewhere With You, official video]",2010-10-18 20:10:27
77,George Strait - Carrying Your Love With Me.3gp,GeorgeStraitVEVO,"Purchase George Strait’s latest music: http://umgn.us/georgestraitpurchase
Stream the latest from George Strait: http://umgn.us/georgestraitstream
Sign up to receive email updates from George Strait: http://umgn.us/georgestraitupdates

Website: http://www.georgestrait.com/
Facebook: https://www.facebook.com/georgestrait
Twitter: https://twitter.com/georgestrait

Music video by George Strait performing Carrying Your Love With Me. (C) 2004 MCA Nashville",14589951,4.81515216827,46934,2274,00:01:49,109,"[George, Strait, MCA, Nashville, Country]",2009-10-08 10:00:34
78,Joe Nichols - Sunny and 75.mp4,JoeNicholsVEVO,"Directed by Brian Lazzaro
""Sunny and 75"" available now on iTunes http://smarturl.it/Sunny75iTunes

The new album CRICKETS in stores Oct. 8, 2013

 

Connect with Joe:
http://www.joenichols.com
http://www.facebook.com/joenichols
http://www.twitter.com/joenichols

htpp://www.iTunes.com/joenichols

 

© 2013 Red Bow Records",9628742,4.85039615631,30756,1195,00:03:27,207,"[Jason, Aldean, Night, Train, Broken, Bow, Records, Country]",2013-08-24 00:07:29
79,Kenny Chesney - Anything But Mine.3gp,KennyChesneyVEVO,"Kenny Chesney's official music video for 'Anything But Mine'. Click to listen to Kenny Chesney on Spotify: http://smarturl.it/KChSpotify?IQid=KChABM

As featured on Greatest Hits 2. Click to buy the track or album via iTunes: http://smarturl.it/KChGH2iTunes?IQid=KChABM
Google Play: http://smarturl.it/KChABMplay?IQid=KChABM
Amazon: http://smarturl.it/KChGH2Amz?IQid=KChABM

More from Kenny Chesney
Everybody Wants To Go To Heaven: https://youtu.be/u6MqUqtTlLI
Pirate Flag: https://youtu.be/IqIRpnsUvP4
When I See This Bar: https://youtu.be/CWZe6YoHYIg

More great Country Anthems videos here: http://smarturl.it/CountryAnthems?IQid=KChABM

Follow Kenny Chesney
Website: http://www.kennychesney.com/
Facebook: https://www.facebook.com/KennyChesney/
Twitter: https://twitter.com/kennychesney
Instagram: https://instagram.com/kennychesney/

Subscribe to Kenny Chesney on YouTube: http://smarturl.it/KChSub?IQid=KChABM

---------

Lyrics:

Walking alone beneath the lights of that miracle mile,
Me and Mary making our way into the night,
You can hear the cries from the carnival rides,
The pinball bills, skee ball slides,
Watching the summer sun fall out of sight,
There's a warm wind coming in from off of the ocean
Making it's way past the hotel walls to fill the streets
Mary is holding both of her shoes in her hands
Said she likes to feel the sand beneath her feet

And in the morning I'm leaving, making my way back to Cleveland
So tonight I hope that I will do just fine
And I don't see how you could ever be anything but mine

There's a local band playing at the sea side pavilion
And I got just enough cash to get us in
And as we are dancing Mary's wrapping her arms around me
And I can feel the sting of summer on my skin
In the midst of the music I tell her I love her,
We both laugh cause we know it isn't true
But Mary there's a summer drawing to an end tonight
And there's so much that I long to do to you

But in the morning I'm leaving, making my way back to Cleveland
So tonight I hope that I will do just fine
And I don't see how you could ever be anything but mine

Ooooooooo...

And in the morning I'm leaving, making my way back to Cleveland
So tonight I hope that I will do just fine
And I don't see how you could everbe anything but mine

Mary I don't see how you could ever be anything but mine

Ooooooooooo... ooooooooooooooo...

... And in the morning I'm leaving, making my way back to Cleveland
So tonight I hope that I will do just fine
Hey, I don't see howyou could ever be anything but mine",9065366,4.85521459579,22633,850,00:05:37,337,"[the road and the radio, gh 2, anything but mine live, hq, official, Anything But Mine, anything but mine lyrics, kenny chesney lyrics, when the sun goes down, cover, denver, karaoke, download, music, playlist, audio, live 2015, kenny chesney vevo, lyrics, live, music video, kenny chesney, kenny chesney anything but mine, kenny chesney live, vevo, Sony, hemmingways whiskey, album, Kenny Chesney, acoustic, greatest hits, official video, kenny]",2009-11-24 06:45:29
80,Kenny Chesney - You And Tequila ft. Grace Potter.mp4,KennyChesneyVEVO,"Kenny Chesney's official music video for 'You And Tequila feat. Grace Potter'. Click to listen to Kenny Chesney on Spotify: http://smarturl.it/KChSpotify?IQid=KChYAT

As featured on Hemingway's Whiskey. Click to buy the track or album via iTunes: http://smarturl.it/KChHWiTunes?IQid=KChYAT
Google Play: http://smarturl.it/KChYATplay?IQid=KChYAT
Amazon: http://smarturl.it/KChHWAmz?IQid=KChYAT

More from Kenny Chesney
Everybody Wants To Go To Heaven: https://youtu.be/u6MqUqtTlLI
Pirate Flag: https://youtu.be/IqIRpnsUvP4
When I See This Bar: https://youtu.be/CWZe6YoHYIg

More great Country Hit videos here: http://smarturl.it/CountryHit?IQid=KChYAT

Follow Kenny Chesney
Website: http://www.kennychesney.com/
Facebook: https://www.facebook.com/KennyChesney/
Twitter: https://twitter.com/kennychesney
Instagram: https://instagram.com/kennychesney/

Subscribe to Kenny Chesney on YouTube: http://smarturl.it/KChSub?IQid=KChYAT

---------

Lyrics:

Baby, here I am again
Kicking dust in the Canyon wind
Waiting for that sun to go down
Made it up Mulholland Drive
Hell bent on getting high
High above the lights of town

'Cause you and Tequila make me crazy
Run like poison in my blood
One more night could kill me, baby
One is one too many,one more is never enough

Thirty days and thirty nights
Been putting up a real good fight
And there were times I thought you'd win
It's so easy to forget
The bitter taste the morning left
Swore I wouldn't go back there again

'Cause you and Tequila make me crazy
Run like poison in my blood
One more night could kill me, baby
One is one too many, one more is never enough

When it comes to you
Oh, the damage I could do
It's always your favorite sins
That do you in

'Cause you and Tequila make me crazy
Run like poison in my blood
One more night could kill me, baby
One is one too many, one more is never enough

Never enough
You and Tequila
You and Tequila",21155304,4.86133050919,75907,2726,00:04:06,246,"[the road and the radio, gh 2, you and tequila official, hq, official, you and tequila lyrics, when the sun goes down, kenny chesney lyrics, cover, karaoke, download, music, playlist, live 2015, audio, kenny chesney vevo, lyrics, music video, live, kenny chesney, kenny chesney live, vevo, Sony, hemmingways whiskey, album, acoustic, greatest hits, official video, You And Tequila (featuring Grace Potter), kenny chesney official channel, single]",2011-05-28 00:30:21
81,Florida Georgia Line - Stay.mp4,FlaGeorgiaLineVEVO,"Music video by Florida Georgia Line performing Stay. © 2013 Republic Nashville, a Division of UMG Recordings, Inc.",48892493,4.82201290131,215723,10046,00:03:54,234,"[Florida Georgia, Line Stay, Nashville, Country, new video, new song, Cruise, premiere]",2013-10-09 15:42:16
