,filename,author,description,viewcount,rating,likes,dislikes,duration,length,keywords,published,colors1red,colors1blue,colors1green,colors2red,colors2blue,colors2green,colors3red,colors3blue,colors3green,colors4red,colors4blue,colors4green,colors5red,colors5blue,colors5green,colors6red,colors6blue,colors6green,colors7red,colors7blue,colors7green,colors8red,colors8blue,colors8green,colors9red,colors9blue,colors9green,colors10red,colors10blue,colors10green
0,Luke Bryan - Roller Coaster.mp4,LukeBryanVEVO,"Luke Bryan - Crash My Party
Purchase now on iTunes: http://smarturl.it/3g8995?IQid=VEVO 

Music video by Luke Bryan performing Roller Coaster. (C) 2014 Capitol Records Nashville",28948653,4.84010791779,127866,5324,00:04:23,263,"[Luke, Bryan, Roller, Coaster, Capitol, Records, Nashville, Country]",2014-06-21 11:00:03,0,0,0,82,82,81,66,66,71,56,56,55,50,49,49,84,84,84,57,57,58,113,113,113,94,88,91,66,65,65
1,Dierks Bentley - Drunk On A Plane.mp4,DierksBentleyVEVO,"Purchase Dierks Bentley’s latest music: http://umgn.us/dierksbentleypurchase
Stream the latest from Dierks Bentley: http://umgn.us/dierksbentleystream
Sign up to receive email updates from Dierks Bentley: http://umgn.us/dierksbentleyupdates

Website: http://www.dierks.com
Facebook: https://www.facebook.com/dierksbentley
Instagram: https://www.instagram.com/dierksbentley
Twitter: https://twitter.com/dierksbentley

Music video by Dierks Bentley performing Drunk On A Plane. (C) 2014 Capitol Records Nashville",41548786,4.76363897324,140682,8835,00:04:51,291,"[Dierks, Bentley, Drunk, On, Plane, Capitol, Records, Nashville, Country]",2014-05-13 20:16:23,179,48,59,33,33,33,112,111,112,41,42,42,42,59,59,58,58,64,47,48,48,84,85,85,47,48,48,141,141,142
