Link,URL
       Kid Cudi - Frequency     ,/watch?v=KzvywmVRWAo&index=51&list=PL4052EF31AFAB6867
       Gucci Mane - Icy Lil Bitch [Official Music Video]     ,/watch?v=nr2fObAF93Q&index=52&list=PL4052EF31AFAB6867
       Pusha T - H.G.T.V.     ,/watch?v=7s63y_kfWt4&index=53&list=PL4052EF31AFAB6867
       K Camp - Hungry N Lurkin     ,/watch?v=oPZNHjf1Oac&index=54&list=PL4052EF31AFAB6867
       Dave East - Type of Time (Official Music Video)     ,/watch?v=dy5yK9yHUrc&index=55&list=PL4052EF31AFAB6867
"       Tech N9ne - Erbody But Me ft. Krizz Kaliko, Bizzy     ",/watch?v=OY0Mk9kTs8M&index=56&list=PL4052EF31AFAB6867
       Young Dolph - What Yo Life Like (Official Video) ft. 2 Chainz     ,/watch?v=_WNxRt8SCcQ&index=57&list=PL4052EF31AFAB6867
       Lil Durk - Glock Up     ,/watch?v=smYjr2gwm94&index=58&list=PL4052EF31AFAB6867
"       T.I. - Black Man ft. Quavo, Meek Mill, Rara     ",/watch?v=hPDHlEOq1a0&index=59&list=PL4052EF31AFAB6867
       Juicy J - Ballin ft. Kanye West     ,/watch?v=D7IoXbkQUsA&index=60&list=PL4052EF31AFAB6867
       K Camp - Lyric Ave     ,/watch?v=FezQHHQMv2M&index=61&list=PL4052EF31AFAB6867
       Lil Uzi Vert - You Was Right [Official Music Video]     ,/watch?v=55iN4H6kRN4&index=62&list=PL4052EF31AFAB6867
       Kid Ink - Die In It [Official Video]     ,/watch?v=v7VjqxRLrZ0&index=63&list=PL4052EF31AFAB6867
       Gucci Mane - Money Machine (feat. Rick Ross) [Official Music Video]     ,/watch?v=g6RWvkRCXOQ&index=64&list=PL4052EF31AFAB6867
       Monty - Right Back feat. Fetty Wap (Official Music Video)     ,/watch?v=LHhQ58KekFw&index=65&list=PL4052EF31AFAB6867
       K Camp - Touchdown     ,/watch?v=6kJhn9J53x8&index=66&list=PL4052EF31AFAB6867
       Diggy - FEEL LIKE [Official Video]     ,/watch?v=8e0aeXnovo8&index=67&list=PL4052EF31AFAB6867
       Gucci Mane - All My Children [Official Music Video]     ,/watch?v=pOmsxhn6F90&index=68&list=PL4052EF31AFAB6867
       Gucci Mane - Bling Blaww Burr (feat. Young Dolph) [Official Music Video]     ,/watch?v=AfumliVrF-Q&index=69&list=PL4052EF31AFAB6867
       Rae Sremmurd - Black Beatles ft. Gucci Mane     ,/watch?v=b8m9zhNAgKs&index=70&list=PL4052EF31AFAB6867
       Kirko Bangz  - Big Love (Produced By Sound M.O.B.) Directed By Phillyflyboy     ,/watch?v=Lu1hdEauYzY&index=71&list=PL4052EF31AFAB6867
       Machine Gun Kelly - Young Man ft. Chief Keef     ,/watch?v=BuSBo8AVpV0&index=72&list=PL4052EF31AFAB6867
       K Camp - Fuck Is Up     ,/watch?v=vO96dqfBfdo&index=73&list=PL4052EF31AFAB6867
       Kirko Bangz - Aaryn's Interlude (Official Video) Produced By Sound M.O.B.     ,/watch?v=ASF5a1SW7xk&index=74&list=PL4052EF31AFAB6867
       Blac Youngsta - Hustle For Mine Feat. YFN Lucci     ,/watch?v=Zmc7_4qCm24&index=75&list=PL4052EF31AFAB6867
"       ScHoolboy Q - Overtime ft. Miguel, Justine Skye     ",/watch?v=l72-AuyMDEs&index=76&list=PL4052EF31AFAB6867
       Taylor Gang - Gang Gang [Official Video]     ,/watch?v=uM6vFI_p7vg&index=77&list=PL4052EF31AFAB6867
       Dave East - One Way (Directed by FredFocus)     ,/watch?v=ylFFWYSMKI8&index=78&list=PL4052EF31AFAB6867
       DJ Khaled - Nas Album Done ft. Nas     ,/watch?v=zQhy9eE8MBg&index=79&list=PL4052EF31AFAB6867
       Kevin Gates - Time For That [Official Music Video]     ,/watch?v=gztnxq2lUo8&index=80&list=PL4052EF31AFAB6867
       Rich the Kid x Jaden Smith - Like This (Official Video)     ,/watch?v=ntxub81CJ_4&index=81&list=PL4052EF31AFAB6867
       Young Dolph - If (Official Video)     ,/watch?v=f8uf5U0M728&index=82&list=PL4052EF31AFAB6867
       Troy Ave - Dealership     ,/watch?v=k08UA5trmYo&index=83&list=PL4052EF31AFAB6867
       Kanye West - Fade (Explicit)     ,/watch?v=IxGvm6btP1A&index=84&list=PL4052EF31AFAB6867
       Isaiah Rashad - 4r Da Squaw     ,/watch?v=nppKPgdc_u0&index=85&list=PL4052EF31AFAB6867
       T.I. - We Will Not     ,/watch?v=kg00mbfXsEI&index=86&list=PL4052EF31AFAB6867
"       Jeezy - Magic City Monday ft. Future, 2 Chainz     ",/watch?v=K_3neT-KRRg&index=87&list=PL4052EF31AFAB6867
       Vince Staples - Prima Donna     ,/watch?v=gxw1Zef3EO0&index=88&list=PL4052EF31AFAB6867
       Blac Youngsta - Beat It ft. Rich Homie Quan     ,/watch?v=uBBdNpxQugo&index=89&list=PL4052EF31AFAB6867
       Ty Dolla $ign - Zaddy [Music Video]     ,/watch?v=3pAoC-DWNfs&index=90&list=PL4052EF31AFAB6867
       Hype - Flockmix [OFFICIAL VIDEO]     ,/watch?v=WoUtBuvi92o&index=91&list=PL4052EF31AFAB6867
"       Fat Joe, Remy Ma, French Montana - Cookin (Official Video) ft. RySoValid     ",/watch?v=a4NYSwNAo08&index=92&list=PL4052EF31AFAB6867
       DJ Luke Nasty - OTW (Official Video)     ,/watch?v=Akfeu1zfpLI&index=93&list=PL4052EF31AFAB6867
"       Master P ""MIDDLE FINGA"" Music Video and ""THE G MIXTAPE""     ",/watch?v=2tg08U38R_k&index=94&list=PL4052EF31AFAB6867
       Hopsin - False Advertisement     ,/watch?v=wlb-HWpDDx0&index=95&list=PL4052EF31AFAB6867
       Tech N9ne - Push Start (Feat. Big Scoob) - Official Music Video     ,/watch?v=Z8LXM-66Y3g&index=96&list=PL4052EF31AFAB6867
       Gucci Mane - Robbed [Official Music Video]     ,/watch?v=QDHPZWAMFyk&index=97&list=PL4052EF31AFAB6867
       Trae Tha Truth - G Thang ft. Baby Houston     ,/watch?v=W5ah1OgdhNY&index=98&list=PL4052EF31AFAB6867
       Papoose - Black Love ft. Nathaniel     ,/watch?v=74euNkf1uJQ&index=99&list=PL4052EF31AFAB6867
       Rae Sremmurd - Start A Party     ,/watch?v=UiAujAOzePk&index=100&list=PL4052EF31AFAB6867
