Link,URL
       Wish That You Were Here (From “Miss Peregrine’s Home for Peculiar Children”)     ,/watch?v=dsWDUvuF0Xc&list=PLRZlMhcYkA2HybvsMzUcsqoxqlCEHXnpC&index=38
       Metallica: ManUNkind (Official Music Video)     ,/watch?v=tUVr2xnGIEo&list=PLRZlMhcYkA2HybvsMzUcsqoxqlCEHXnpC&index=39
       twenty one pilots: Cancer (Cover) [LYRIC VIDEO]     ,/watch?v=yw6i1SAHetc&list=PLRZlMhcYkA2HybvsMzUcsqoxqlCEHXnpC&index=40
       Five Finger Death Punch - I Apologize     ,/watch?v=OzvasAJIHb4&list=PLRZlMhcYkA2HybvsMzUcsqoxqlCEHXnpC&index=41
       Korn - Rotting In Vain (OFFICIAL VIDEO)     ,/watch?v=nq9j1qkj2Vc&list=PLRZlMhcYkA2HybvsMzUcsqoxqlCEHXnpC&index=42
       Action Bronson & Dan Auerbach (of The Black Keys) ft. Mark Ronson – “Standing In The Rain”     ,/watch?v=JG1VLYp5DjQ&list=PLRZlMhcYkA2HybvsMzUcsqoxqlCEHXnpC&index=43
       Metallica: Murder One (Official Music Video)     ,/watch?v=2Mkq6GFLIsk&list=PLRZlMhcYkA2HybvsMzUcsqoxqlCEHXnpC&index=44
       Fitz and the Tantrums - HandClap [Official Video]     ,/watch?v=Y2V6yjjPbX0&list=PLRZlMhcYkA2HybvsMzUcsqoxqlCEHXnpC&index=45
       The Lumineers - Ophelia     ,/watch?v=pTOC_q0NLTk&list=PLRZlMhcYkA2HybvsMzUcsqoxqlCEHXnpC&index=46
       Skillet - I Want To Live [Official Audio]     ,/watch?v=KQcY1aj9XTI&list=PLRZlMhcYkA2HybvsMzUcsqoxqlCEHXnpC&index=47
       Coldplay - Hymn For The Weekend (Official video)     ,/watch?v=YykjpeuMNEk&list=PLRZlMhcYkA2HybvsMzUcsqoxqlCEHXnpC&index=48
       The 1975 - Somebody Else (Official Video)     ,/watch?v=Bimd2nZirT4&list=PLRZlMhcYkA2HybvsMzUcsqoxqlCEHXnpC&index=49
       AURORA - I Went Too Far     ,/watch?v=eT6dLJd3rYk&list=PLRZlMhcYkA2HybvsMzUcsqoxqlCEHXnpC&index=50
       Skillet -  Back From The Dead [Official Audio]     ,/watch?v=W44HrKFTPaE&list=PLRZlMhcYkA2HybvsMzUcsqoxqlCEHXnpC&index=51
       The Lumineers - Cleopatra     ,/watch?v=aN5s9N_pTUs&list=PLRZlMhcYkA2HybvsMzUcsqoxqlCEHXnpC&index=52
       Breaking Benjamin - Ashes of Eden (Official Video)     ,/watch?v=d1yTyAh8IA8&list=PLRZlMhcYkA2HybvsMzUcsqoxqlCEHXnpC&index=53
"       Skillet - ""Feel Invincible"" [Official Music Video]     ",/watch?v=Qzw6A2WC5Qo&list=PLRZlMhcYkA2HybvsMzUcsqoxqlCEHXnpC&index=54
       Fall Out Boy - Ghostbusters (I'm Not Afraid) (Audio) ft. Missy Elliott     ,/watch?v=2AQ44nPrRTM&list=PLRZlMhcYkA2HybvsMzUcsqoxqlCEHXnpC&index=55
       blink-182 - Bored To Death (Official Video)     ,/watch?v=lic0oCDMfwk&list=PLRZlMhcYkA2HybvsMzUcsqoxqlCEHXnpC&index=56
       Bastille - Good Grief     ,/watch?v=ZWCB3hpJDXM&list=PLRZlMhcYkA2HybvsMzUcsqoxqlCEHXnpC&index=57
       Sum 41 - Fake My Own Death (Official Music Video)     ,/watch?v=waixG1Dhr3w&list=PLRZlMhcYkA2HybvsMzUcsqoxqlCEHXnpC&index=58
       No Future - blink-182 [LYRIC VIDEO]     ,/watch?v=dcFdX9MBcpY&list=PLRZlMhcYkA2HybvsMzUcsqoxqlCEHXnpC&index=59
       Of Mice & Men - Pain (Official Music Video)     ,/watch?v=jkjvyMBeqUE&list=PLRZlMhcYkA2HybvsMzUcsqoxqlCEHXnpC&index=60
       James Bay - Let It Go     ,/watch?v=GsPq9mzFNGY&list=PLRZlMhcYkA2HybvsMzUcsqoxqlCEHXnpC&index=61
       Imagine Dragons - Radioactive     ,/watch?v=ktvTqknDobU&list=PLRZlMhcYkA2HybvsMzUcsqoxqlCEHXnpC&index=62
       Fall Out Boy - Centuries (Official Video)     ,/watch?v=LBr7kECsjcQ&list=PLRZlMhcYkA2HybvsMzUcsqoxqlCEHXnpC&index=63
       AWOLNATION - Sail (Official Music Video)     ,/watch?v=tgIqecROs5M&list=PLRZlMhcYkA2HybvsMzUcsqoxqlCEHXnpC&index=64
       Jimmy Eat World - The Middle     ,/watch?v=oKsxPW6i3pM&list=PLRZlMhcYkA2HybvsMzUcsqoxqlCEHXnpC&index=65
       Jane's Addiction - Jane Says     ,/watch?v=xh-5FI21s6M&list=PLRZlMhcYkA2HybvsMzUcsqoxqlCEHXnpC&index=66
       Queens Of The Stone Age - No One Knows     ,/watch?v=s88r_q7oufE&list=PLRZlMhcYkA2HybvsMzUcsqoxqlCEHXnpC&index=67
       Blur - Song 2 (HD)     ,/watch?v=jsqChGikzkU&list=PLRZlMhcYkA2HybvsMzUcsqoxqlCEHXnpC&index=68
       System Of A Down - Chop Suey!     ,/watch?v=CSvFpBOe8eY&list=PLRZlMhcYkA2HybvsMzUcsqoxqlCEHXnpC&index=69
       Rise Against - Savior     ,/watch?v=e8X3ACToii0&list=PLRZlMhcYkA2HybvsMzUcsqoxqlCEHXnpC&index=70
       Foo Fighters - Everlong     ,/watch?v=eBG7P-K-r1Y&list=PLRZlMhcYkA2HybvsMzUcsqoxqlCEHXnpC&index=71
       Breaking Benjamin - The Diary of Jane     ,/watch?v=DWaB4PXCwFU&list=PLRZlMhcYkA2HybvsMzUcsqoxqlCEHXnpC&index=72
