Link,URL
       Big Baby D.R.A.M. - Broccoli feat. Lil Yachty (Official Music Video)     ,/watch?v=K44j-sb1SRY&list=PL4052EF31AFAB6867&index=150
       Gucci Mane - Waybach [Official Music Video]     ,/watch?v=Eu13Mmfxctc&list=PL4052EF31AFAB6867&index=151
       Z-Ro - Where The Real     ,/watch?v=JafLJ2nGTTE&list=PL4052EF31AFAB6867&index=152
"       ScHoolBoy Q ""JoHn Muir""     ",/watch?v=gcV3jIqKznc&list=PL4052EF31AFAB6867&index=153
       Lil Durk - LilDurk2x     ,/watch?v=3jF2K3f0VEY&list=PL4052EF31AFAB6867&index=154
"       Rich Gang - Most of Them ft. Derez, Kutta, NENO     ",/watch?v=1MfrHIYhL2o&list=PL4052EF31AFAB6867&index=155
       Gucci Mane - No Sleep (Intro) [Official Music Video]     ,/watch?v=YaSRDbRyavo&list=PL4052EF31AFAB6867&index=156
       Lil Durk - Money Walk ft. Yo Gotti     ,/watch?v=K54r4sNASzA&list=PL4052EF31AFAB6867&index=157
"       Young Thug "" Memo""     ",/watch?v=mEzRQYDVD_4&list=PL4052EF31AFAB6867&index=158
       YG - Still Brazy     ,/watch?v=hQDck3xT9TY&list=PL4052EF31AFAB6867&index=159
       Gucci Mane - Guwop Home feat. Young Thug [Official Music Video]     ,/watch?v=SVGdUasknWg&list=PL4052EF31AFAB6867&index=160
"       Juicy J, Wiz Khalifa, TM88 - All Night (Official Video)     ",/watch?v=WdTcyt3DyNE&list=PL4052EF31AFAB6867&index=161
       Gucci Mane - First Day Out Tha Feds [Official Music Video]     ,/watch?v=i9kJJ9yhXNc&list=PL4052EF31AFAB6867&index=162
       Trae Tha Truth - Ridin' Top Dine     ,/watch?v=0cw52yShVVQ&list=PL4052EF31AFAB6867&index=163
       Snoop Dogg - Point Seen Money Gone ft. Jeremih     ,/watch?v=hMCMKYAUptE&list=PL4052EF31AFAB6867&index=164
"       DJ Khaled - I Got the Keys ft. Jay Z, Future     ",/watch?v=SFLSOIufuhM&list=PL4052EF31AFAB6867&index=165
       Lil Mama - Too Fly     ,/watch?v=LJ6x_K0GrpE&list=PL4052EF31AFAB6867&index=166
       Kanye West - Famous     ,/watch?v=p7FCgw_GlWc&list=PL4052EF31AFAB6867&index=167
       Tyga - 1 of 1     ,/watch?v=p8_A9x3NCu4&list=PL4052EF31AFAB6867&index=168
       Steve Aoki - How Else feat. Rich The Kid & ILoveMakonnen (Official Video)     ,/watch?v=4Kh93U_yLyI&list=PL4052EF31AFAB6867&index=169
"       Royce 5'9"" - Layers ft. Pusha T, Rick Ross     ",/watch?v=hI-8ZDFA5Rg&list=PL4052EF31AFAB6867&index=170
       A$AP Ferg - Back Hurt ft. Migos     ,/watch?v=DsMBvyI6saY&list=PL4052EF31AFAB6867&index=171
       Young Thug - Turn Up     ,/watch?v=KJagA5R2wR8&list=PL4052EF31AFAB6867&index=172
       Migos  - Cocoon     ,/watch?v=tG3kGn-WFqQ&list=PL4052EF31AFAB6867&index=173
       A$AP Ferg - World Is Mine ft. Big Sean     ,/watch?v=siBeCSdZ1OU&list=PL4052EF31AFAB6867&index=174
"       YFN Lucci - Key To The Streets (Official Video) ft. Migos, Trouble     ",/watch?v=az_X1C4KVBI&list=PL4052EF31AFAB6867&index=175
       2 Chainz - MFN Right (Remix) ft. Lil Wayne     ,/watch?v=vq7QQhrMOwA&list=PL4052EF31AFAB6867&index=176
"       Kevin Gates - Jam feat. Trey Songz, Ty Dolla $ign, & Jamie Foxx [Official Music Video]     ",/watch?v=icnBNjtDYZ8&list=PL4052EF31AFAB6867&index=177
       50 Cent - No Romeo No Juliet ft. Chris Brown (Official Music Video)     ,/watch?v=UFTyeXVQ0Ko&list=PL4052EF31AFAB6867&index=178
       Maino - Mama Loves Me     ,/watch?v=N-5YF--OAiU&list=PL4052EF31AFAB6867&index=179
"       Rich Gang - Pull Up ft. Jacquees, J-Soul, Ralo Stylz, Derez Lenard, Birdman     ",/watch?v=HCTPa5klocM&list=PL4052EF31AFAB6867&index=180
       K Camp - 5 Minutes ft. 2 Chainz     ,/watch?v=s89KjjcoqC0&list=PL4052EF31AFAB6867&index=181
"       2 Chainz, Statik Selektah - Smoke Break     ",/watch?v=NJvJh8hDI58&list=PL4052EF31AFAB6867&index=182
       Lil Wayne - Skate It Off (Produced By Twice As Nice)     ,/watch?v=jLpkYHCKXHk&list=PL4052EF31AFAB6867&index=183
       Who Am I?     ,/watch?v=qJqrJZb1fwI&list=PL4052EF31AFAB6867&index=184
       O.T. Genasis - Push It [Music Video]     ,/watch?v=_rIcOqYaaSE&list=PL4052EF31AFAB6867&index=185
       Rae Sremmurd - Look Alive     ,/watch?v=rPZtXYaY4do&list=PL4052EF31AFAB6867&index=186
       Machine Gun Kelly - 4th Coast Freestyle [Official Music Video]     ,/watch?v=9YanyhbCw7U&list=PL4052EF31AFAB6867&index=187
       French Montana - Lockjaw ft. Kodak Black     ,/watch?v=pIHR7rUeGTc&list=PL4052EF31AFAB6867&index=188
       Wiz Khalifa - Celebrate ft. Rico Love [Official Video]     ,/watch?v=WrklZD9H5Vg&list=PL4052EF31AFAB6867&index=189
       Vic Mensa - There's Alot Going On (Official Music Video)     ,/watch?v=d4VflaXIJCQ&list=PL4052EF31AFAB6867&index=190
       Birdman - Still Hot     ,/watch?v=3kiSbRg2zRU&list=PL4052EF31AFAB6867&index=191
       ScHoolboy Q - THat Part ft. Kanye West     ,/watch?v=uQ_DHRI-Xp0&list=PL4052EF31AFAB6867&index=192
       Aminé - Caroline     ,/watch?v=3j8ecF8Wt4E&list=PL4052EF31AFAB6867&index=193
       2 Chainz - 100 Joints     ,/watch?v=qv3j-miyXEk&list=PL4052EF31AFAB6867&index=194
       B.o.B - EARTHQUAKE - Official Video     ,/watch?v=lIAJOAb3fSs&list=PL4052EF31AFAB6867&index=195
"       Jacquees, Birdman - Lost At Sea     ",/watch?v=yOOJP7cA15M&list=PL4052EF31AFAB6867&index=196
       2 Chainz - Gotta Lotta ft. Lil Wayne     ,/watch?v=-zqvNnDX-PI&list=PL4052EF31AFAB6867&index=197
       Fetty Wap - Wake Up [Official Video]     ,/watch?v=LbARTyio_0Q&list=PL4052EF31AFAB6867&index=198
       Chance the Rapper ft. 2 Chainz & Lil Wayne - No Problem (Official Video)     ,/watch?v=DVkkYlQNmbc&list=PL4052EF31AFAB6867&index=199
"       A$AP Ferg - Yammy Gang ft. A$AP Mob, Tatiana Paulino     ",/watch?v=MQvb_oGWzgk&list=PL4052EF31AFAB6867&index=200
